      number    return_L   w_grow_in  w_grow_out     var_a_b     corr_ab   train_rev     R_D_rev
          84      0.4544      0.0120      0.0088      0.9357     -0.0579      0.0247      0.0001
          85      0.5755      0.0120      0.0054      0.1992      0.1390      0.0111      0.0149
          86         NaN         NaN     -0.0000         NaN         NaN    Infinity    Infinity
          87      0.3026      0.0075      0.0068      2.7437     -0.0230      0.2034      0.0010
          88      0.6420      0.0153      0.0071      0.2302      0.1729      0.0134      0.0326
          89      0.5679      0.0162      0.0078      2.7370     -0.0217      0.0034      0.0019
          90      0.4979      0.0049      0.0032      1.8700     -0.0575      0.0427      0.0004
          91      0.2293      0.0094      0.0022      3.0881      0.0256      0.1332      0.0113
          92      0.6982      0.0221      0.0111      2.3389      0.0109      0.0007      0.0004
          93         NaN         NaN      0.0000         NaN         NaN    Infinity    Infinity
          94      0.0891      0.0056      0.0003      0.5697      0.0444      0.1358      0.0000
          95         NaN         NaN         NaN      0.0701     -0.3414      0.0000      0.0000
          96      0.4251      0.0138      0.0084      2.2329     -0.0000      0.1243      0.0018
          97      0.6850      0.0143      0.0077      0.5538      0.1228      0.0157      0.0090
          98      0.5332      0.0119      0.0110      2.1280     -0.0433      0.0339      0.0002
          99      0.7002      0.0158      0.0075      0.7864      0.0602      0.0016      0.0009
         100      0.2325      0.0115      0.0040      2.2680      0.0963      0.0582      0.0036
         101      0.6394      0.0193      0.0117      2.1846     -0.0358      0.0567      0.0002
         102         NaN         NaN         NaN      0.0223     -0.0668      0.0000      0.0000
         103      0.1524      0.0050      0.0011      1.0697      0.0039      0.1185      0.0000
         104      0.3721         NaN      0.0000      0.4905      0.0381      0.1397      0.0000
         105      0.2564         NaN      0.0008      0.9331      0.1022      0.5362      0.0004
         106      0.1386         NaN      0.0001      0.5361      0.1094      0.4532      0.0000
         107      0.2410      0.0045      0.0003      0.3006      0.0890      0.6508      0.0000
         108         NaN         NaN      0.0000         NaN         NaN    Infinity    Infinity
         109      0.1480         NaN      0.0005      0.4630     -0.0514      0.0210      0.0000
         110      0.2439         NaN      0.0000      1.5104     -0.0892      0.0375      0.0009
         111      0.6240         NaN      0.0000      2.1590      0.9392      1.9507      0.0092
         112      0.4406      0.0059      0.0054      0.9134     -0.0024      0.0431      0.0001
         113      0.2423      0.0072      0.0034      0.6147      0.1152      0.1009      0.0000
         114      0.3852      0.0059      0.0051      1.4180     -0.0558      0.0926      0.0039
         115      0.0437         NaN      0.0001      1.3447      0.2681      0.3216      0.0003
         116      0.1262         NaN      0.0001      1.6023      0.1775      0.1886      0.0000
         117      0.2504         NaN      0.0000      0.3715      0.2395      0.2460      0.0031
         118      0.3578      0.0058      0.0043      1.5943     -0.0266      0.0164      0.0000
         119      0.7744      0.0136      0.0050      4.9178      0.0320      0.0002      0.0006
         120         NaN         NaN      0.0000         NaN         NaN    Infinity    Infinity
         121         NaN         NaN     -0.0000         NaN         NaN    Infinity    Infinity
         122      0.5605      0.0146      0.0072      0.5790      0.1731      0.0232      0.0101
         123         NaN         NaN      0.0000         NaN         NaN      4.1661      0.2635
         124      0.0752         NaN      0.0004      1.1272      0.2202      0.3707      0.0566
         125      0.3677      0.0047      0.0012      1.2287      0.0227      0.2333      0.0046
         126      0.6270      0.0123      0.0037      0.4747      0.0399      0.0114      0.0014
         127      0.6871      0.0193      0.0087      0.1907      0.0286      0.0070      0.0258
         128      0.6319      0.0155      0.0060      0.4469      0.0715      0.0099      0.0015
         129      0.4854      0.0116      0.0109      0.6893      0.0164      0.0125      0.0003
         130      0.4497      0.0116      0.0077      0.5739     -0.0059      0.0443      0.0000
         131      0.5867      0.0152      0.0044      0.5199      0.0020      0.0059      0.0014
         132      0.6405      0.0105      0.0045      6.3945     -0.0265      0.0009      0.0019
         133      0.3146      0.0079      0.0037      0.3760      0.1059      0.0718      0.0000
         134      0.7246      0.0146      0.0072      1.1282     -0.0226      0.0009      0.0085
         135      0.5561      0.0101      0.0095      1.1104     -0.0376      0.0127      0.0000
         136      0.2301         NaN      0.0002      1.7522      0.2588      0.5327      0.0013
         137         NaN         NaN     -0.0000         NaN         NaN    Infinity    Infinity
         138      0.2000      0.0104      0.0032      0.5997      0.1360      0.1224      0.0000
         139      0.4068      0.0102      0.0071      0.5876      0.0452      0.0244      0.0008
         140      0.3547      0.0138      0.0073      0.7779      0.0837      0.0331      0.0003
         141      0.1012         NaN      0.0002      4.3128      0.1642      0.2589      0.0104
         142         NaN         NaN     -0.0000         NaN         NaN    Infinity    Infinity
         143      0.2714         NaN      0.0046      3.5207     -0.0041      0.1749      0.1406
         144      0.7411      0.0183      0.0084      0.3015      0.0361      0.0083      0.0242
         145      0.0947         NaN      0.0007      1.0702      0.0550      0.1726      0.0061
         146         NaN         NaN         NaN      0.4608      0.0479      0.0000      0.0000
         147      0.7427      0.0151      0.0068      1.4901     -0.0062      0.0024      0.0103
         148         NaN         NaN         NaN      0.0269     -0.2684      0.0000      0.0000
         149      0.3701         NaN         NaN      0.5709     -0.0090      0.0100      0.0001
