      number           U        LFPR         d_m          EN          UN          EE
          97      0.0292      0.3832      0.0264      0.0252      0.5916      0.0296
          98      0.1485      0.4129      0.0247      0.0311      0.5559      0.0341
          99      0.0239      0.5655      0.0259      0.0315      0.4031      0.0199
         100      0.4153      0.2822      0.0268      0.0196      0.6982      0.0065
         101      0.0570      0.6648      0.0255      0.0309      0.3043      0.0605
         102      0.9268      0.1544      0.0000      0.0000      0.8456      0.0000
         103      0.4873      0.2598      0.0237      0.0322      0.7080      0.0084
         104      0.8779      0.1185      0.0106      0.0112      0.8703      0.0020
         105      0.6160      0.2243      0.0266      0.0209      0.7548      0.0046
         106      0.7651      0.1668      0.0234      0.0219      0.8114      0.0041
         107      0.6060      0.2605      0.0309      0.0405      0.6989      0.0082
         108      0.9467      0.2664         NaN      0.0142      0.7194      0.0025
         109      0.5190      0.1601      0.0244      0.0158      0.8240      0.0036
         110      0.7934      0.1061      0.0265      0.0144      0.8795      0.0026
         111      0.9243      0.1340      0.0006      0.0096      0.8564      0.0017
         112      0.1398      0.4508      0.0253      0.0574      0.4918      0.0429
         113      0.2065      0.2314      0.0253      0.0305      0.7381      0.0103
         114      0.2272      0.3727      0.0250      0.0430      0.5843      0.0242
         115      0.6932      0.0856      0.0302      0.0102      0.9042      0.0020
         116      0.7252      0.1525      0.0324      0.0251      0.8224      0.0049
         117      0.8896      0.1680      0.0145      0.0151      0.8169      0.0027
         118      0.1824      0.3368      0.0250      0.0476      0.6156      0.0246
         119      0.0542      0.6707      0.0250      0.0426      0.2867      0.0233
         120      0.9361      0.1245         NaN      0.0079      0.8675      0.0014
         121      0.9577      0.1364         NaN      0.0058      0.8579      0.0010
         122      0.1370      0.4406      0.0247      0.0338      0.5256      0.0253
         123      0.9596      0.1544         NaN      0.0062      0.8395      0.0011
         124      0.6434      0.0948      0.0265      0.0066      0.8986      0.0014
         125      0.4450      0.2774      0.0266      0.0561      0.6665      0.0139
         126      0.0837      0.3459      0.0250      0.0292      0.6249      0.0111
         127      0.0243      0.6213      0.0261      0.0271      0.3516      0.0556
         128      0.0516      0.3720      0.0257      0.0265      0.6015      0.0141
         129      0.1087      0.4472      0.0246      0.0323      0.5205      0.0399
         130      0.1950      0.4619      0.0253      0.0381      0.5000      0.0241
         131      0.1316      0.4382      0.0246      0.0316      0.5302      0.0128
         132      0.0525      0.5762      0.0249      0.0550      0.3688      0.0354
         133      0.2110      0.3409      0.0249      0.0444      0.6147      0.0151
         134      0.0230      0.5679      0.0254      0.0411      0.3910      0.0555
         135      0.1003      0.3594      0.0249      0.0317      0.6088      0.0297
         136      0.7294      0.2002      0.0340      0.0326      0.7673      0.0064
         137      0.9538      0.1611         NaN      0.0074      0.8315      0.0013
         138      0.3403      0.3084      0.0260      0.0270      0.6645      0.0087
         139      0.1594      0.3810      0.0254      0.0383      0.5806      0.0188
         140      0.2241      0.3672      0.0254      0.0274      0.6054      0.0121
         141      0.5842      0.2212      0.0331      0.0462      0.7326      0.0094
         142      0.8747      0.2088         NaN      0.0262      0.7651      0.0046
         143      0.3349      0.2924      0.0248      0.0308      0.6768      0.0131
         144      0.0240      0.7660      0.0256      0.0289      0.2051      0.0708
         145      0.4748      0.1194      0.0241      0.0133      0.8673      0.0031
         146      0.9337      0.1706      0.0000      0.0000      0.8294      0.0000
         147      0.0609      0.6585      0.0250      0.0421      0.2994      0.0399
         148      0.9284      0.1579      0.0000      0.0000      0.8421      0.0000
         149      0.1818      0.2706      0.0255      0.0253      0.7041      0.0181
