      number        b_UI       e_min    lambda_e         psi       kappa     alpha_u     alpha_o    lambda_a    lambda_b     a_shock     b_shock        phi1        phi2        phi3        phi4           a           b         L_N
          34      0.6869      0.5905      1.0413      4.7659      0.0288      4.3888      3.5520      3.6006      5.7317      0.5609      0.1951     14.8028      0.0000      7.4520      0.0000      2.0000      1.6650      2.4384
          35      0.6318      0.5171      1.0142      2.3903      0.8118      3.8775      2.2799      4.6694      9.8206      0.6103      0.5517      6.6523      0.0000     17.0993      0.0000      2.0000      2.8149      2.0113
          36      0.6394      0.5852      1.0157      2.6171      0.1174      4.8220      2.0520      2.0795      8.7192      0.7119      0.2621     13.8760      0.0000     18.4860      0.0000      2.0000      2.3286         NaN
          37      0.6562      0.5151      1.0231      2.6078      0.4030      1.5930      1.8325      3.3158      6.4234      0.3144      0.2901      8.0807      0.0000     19.7760      0.0000      2.0000      1.9151      2.6712
          38      0.6860      0.5045      1.0424      2.4298      0.8991      2.3556      3.9729      4.4036      9.4637      0.1656      0.6601      7.0529      0.0000      8.8845      0.0000      2.0000      2.0043      0.7054
          39      0.6205      0.5441      1.0147      4.3443      0.7949      1.8622      1.0284      2.6215      9.5439      0.4917      0.7200      9.1267      0.0000     19.8093      0.0000      2.0000      1.8368      0.8347
          40      0.6705      0.5277      1.0002      4.9104      0.1909      3.2328      4.2805      2.1947      8.1835      0.1836      0.2073     14.0286      0.0000      8.0049      0.0000      2.0000      2.2177         NaN
          41      0.6628      0.5502      1.0463      4.3510      0.5806      4.9206      1.9355      3.7788      5.6568      0.7103      0.2228      6.7884      0.0000     12.8421      0.0000      2.0000      2.0536      1.6196
          42      0.6999      0.5925      1.0268      3.0369      0.8679      2.9780      3.9165      2.0834      7.8134      0.3036      0.6108     12.7098      0.0000     12.8167      0.0000      2.0000      2.4668         NaN
          43      0.6719      0.5300      1.0260      4.3980      0.5048      2.0181      3.8139      3.3708      7.6496      0.3534      0.3878      7.7219      0.0000     18.1203      0.0000      2.0000      2.4329      2.0014
          44      0.6913      0.5848      1.0468      4.9881      0.6274      2.1937      4.6608      4.3505      5.8759      0.4501      0.1421      6.9882      0.0000     19.8408      0.0000      2.0000      1.5705      2.4609
          45      0.6160      0.5891      1.0255      3.1296      0.6483      3.7328      4.8135      4.4145      8.3388      0.4173      0.3117     19.7450      0.0000      6.0444      0.0000      2.0000      2.4548      2.5298
          46      0.6044      0.5519      1.0107      4.8194      0.4381      2.7677      1.0090      4.0077      5.0382      0.7108      0.1294     19.4091      0.0000      7.2288      0.0000      2.0000      2.0201      2.4079
          47      0.6681      0.5888      1.0171      2.3868      0.9778      4.8331      1.9523      2.6044      8.9086      0.6975      0.4132     14.5599      0.0000     13.1247      0.0000      2.0000      2.2896         NaN
          48      0.6809      0.5677      1.0242      3.1822      0.3073      2.1481      3.3527      1.5166      6.4011      0.1605      0.3205     15.6327      0.0000     14.8385      0.0000      2.0000      1.9069         NaN
          49      0.6141      0.5173      1.0014      4.5075      0.9630      4.8676      4.4666      4.5548      9.0144      0.2129      0.7119      5.1368      0.0000     15.9489      0.0000      2.0000      1.8699      1.7211
          50      0.6434      0.5648      1.0170      4.6331      0.3336      1.8777      2.4834      2.9735      9.1228      0.2674      0.1145     18.3207      0.0000     14.4134      0.0000      2.0000      2.7269      2.7218
          51      0.6327      0.5649      1.0440      3.7021      0.4584      3.3176      1.4939      1.5996      8.8939      0.4712      0.2676     10.3039      0.0000     15.3495      0.0000      2.0000      2.1882         NaN
          52      0.6539      0.5446      1.0276      3.7098      0.8385      3.0548      2.1838      3.3442      9.1912      0.5272      0.5242      8.3329      0.0000     19.9119      0.0000      2.0000      1.8509      1.3913
          53      0.6771      0.5641      1.0406      4.0929      0.6205      1.2221      4.1241      4.5431      9.5748      0.1996      0.6487     14.5786      0.0000     12.8635      0.0000      2.0000      2.8570      0.5283
          54      0.6199      0.5374      1.0234      3.4014      0.5551      2.7133      3.1173      1.4560      5.4300      0.5094      0.2904     18.0819      0.0000      8.1254      0.0000      2.0000      1.6322         NaN
          55      0.6193      0.5732      1.0222      4.5831      0.0663      4.9802      2.7187      3.2372      5.3089      0.5502      0.1917     10.7709      0.0000     18.8907      0.0000      2.0000      2.5247      2.1169
          56      0.6441      0.5959      1.0132      3.1418      0.3123      4.1167      4.4990      1.2330      7.2571      0.6518      0.5080     17.9687      0.0000     14.8249      0.0000      2.0000      1.5028         NaN
          57      0.6044      0.5975      1.0079      4.3606      0.0121      4.7097      2.1556      2.6180      8.8722      0.5416      0.3087     12.8447      0.0000      6.0485      0.0000      2.0000      2.8409         NaN
          58      0.6257      0.5965      1.0468      2.1328      0.1900      3.9303      1.1642      2.0906      8.2701      0.3055      0.3708     17.1051      0.0000     17.7053      0.0000      2.0000      1.7567      2.4308
          59      0.6718      0.5390      1.0072      4.7539      0.6608      1.7885      3.2888      4.1370      5.2979      0.6225      0.2986      7.3247      0.0000      6.5699      0.0000      2.0000      2.4753      2.1078
          60      0.6619      0.5205      1.0293      3.4973      0.0203      2.8420      1.9864      4.5583      8.0743      0.5885      0.1292     16.6393      0.0000     19.8071      0.0000      2.0000      1.9088      2.7371
          61      0.6411      0.5507      1.0468      4.9569      0.7599      2.8811      1.3994      1.1240      7.5408      0.5941      0.3901     11.5903      0.0000     16.6286      0.0000      2.0000      2.9527         NaN
          62      0.6128      0.5256      1.0433      2.2959      0.0960      1.2698      3.1455      2.6706      8.4623      0.5137      0.3819     16.6455      0.0000     12.2607      0.0000      2.0000      2.5504      2.1371
          63      0.6381      0.5462      1.0433      4.2084      0.5955      2.8203      1.7546      1.2302      6.2428      0.6651      0.2595     13.9841      0.0000     10.3952      0.0000      2.0000      2.6406         NaN
          64      0.6509      0.5576      1.0497      3.2638      0.3707      2.3765      1.6774      1.2598      6.0564      0.1900      0.4635      8.4570      0.0000      7.1573      0.0000      2.0000      2.5259         NaN
          65      0.6770      0.5601      1.0182      4.5979      0.0890      4.6686      2.3927      2.1979      8.6145      0.3005      0.1470     17.2951      0.0000     15.2981      0.0000      2.0000      2.8804         NaN
          66      0.6930      0.5847      1.0150      2.7295      0.3470      3.0322      3.9132      4.2607      9.0904      0.2873      0.1222     17.0571      0.0000     15.4093      0.0000      2.0000      2.4547      2.7717
          67      0.6604      0.5574      1.0121      2.4622      0.4386      1.7380      4.1859      2.7446      5.6101      0.2221      0.1398      5.5962      0.0000     12.5926      0.0000      2.0000      2.0490      1.6911
          68      0.6289      0.5437      1.0020      3.8178      0.2012      3.9683      2.2599      4.3947      6.0516      0.5181      0.6273      8.0559      0.0000      9.0178      0.0000      2.0000      1.9228      2.3427
          69      0.6601      0.5187      1.0471      3.0017      0.1791      3.9117      2.5017      1.3272      5.8864      0.5802      0.2249     18.9043      0.0000     16.5345      0.0000      2.0000      1.6499         NaN
          70      0.6715      0.5118      1.0380      3.4904      0.6757      4.4822      2.3074      2.7055      6.7666      0.3903      0.1843      9.0190      0.0000     19.7160      0.0000      2.0000      2.4764      2.4501
          71      0.6227      0.5730      1.0193      4.3386      0.6521      2.0266      4.4787      1.8178      7.8258      0.3582      0.5970     10.4164      0.0000      7.9909      0.0000      2.0000      1.9530         NaN
          72      0.6499      0.5664      1.0084      3.0918      0.8204      1.1777      3.0196      4.1446      6.9337      0.5994      0.6737      5.6856      0.0000     15.5552      0.0000      2.0000      2.8600      1.8101
          73      0.6254      0.5691      1.0324      4.4142      0.8534      4.7243      4.4992      2.9176      7.1982      0.5921      0.7585      8.1507      0.0000      8.0831      0.0000      2.0000      2.2516         NaN
          74      0.6947      0.5684      1.0042      3.9990      0.5809      3.3808      3.4830      3.4496      9.3277      0.1396      0.7957     17.6977      0.0000     10.7447      0.0000      2.0000      2.9454         NaN
          75      0.6641      0.5978      1.0415      4.1228      0.1166      1.3305      2.0816      3.4093      8.8871      0.4048      0.4077     18.6688      0.0000      5.5843      0.0000      2.0000      1.7599      2.4984
          76      0.6674      0.5141      1.0086      2.2494      0.7321      4.9874      1.7569      4.0557      5.9368      0.4208      0.1739     17.3715      0.0000      8.8806      0.0000      2.0000      2.6051      2.7773
          77      0.6065      0.5132      1.0037      3.2798      0.4623      4.1217      4.0992      1.0082      8.3685      0.3245      0.3052      7.3345      0.0000     19.7468      0.0000      2.0000      1.7487         NaN
          78      0.6181      0.5688      1.0338      2.4978      0.8453      2.4970      4.6495      4.4622      6.2409      0.5500      0.3810     18.6276      0.0000     19.8362      0.0000      2.0000      1.7059      2.4162
          79      0.6696      0.5601      1.0149      4.5893      0.4015      3.2825      1.8921      2.2911      8.7424      0.3813      0.7027     16.0021      0.0000      6.3952      0.0000      2.0000      2.7976         NaN
          80      0.6517      0.5444      1.0035      4.5246      0.4681      2.1165      3.2150      2.6870      7.2422      0.1479      0.7726     16.7870      0.0000     10.0158      0.0000      2.0000      2.8798         NaN
          81      0.6943      0.5270      1.0476      4.4466      0.6757      3.9399      1.4270      4.4018      9.4296      0.5041      0.7562      7.0757      0.0000     16.6747      0.0000      2.0000      2.1225      1.9396
          82      0.6917      0.5086      1.0033      4.5015      0.7374      4.2290      2.7031      1.3017      9.5528      0.2826      0.4534      7.3617      0.0000      5.6450      0.0000      2.0000      2.1770         NaN
          83      0.6173      0.5219      1.0111      3.5848      0.5079      4.6934      4.4904      2.8158      5.6015      0.7301      0.4718      8.5577      0.0000      9.2147      0.0000      2.0000      2.1381      0.1618
          84      0.6744      0.5384      1.0472      4.2779      0.3957      1.6723      3.4904      2.6763      8.4967      0.2674      0.3586     11.1656      0.0000     19.0000      0.0000      2.0000      2.4659      2.1967
          85      0.6077      0.5339      1.0328      2.7482      0.1382      3.2008      4.9217      3.8811      5.7108      0.2026      0.2923     12.7310      0.0000      6.5124      0.0000      2.0000      1.7237      2.8323
          86      0.6127      0.5751      1.0088      2.1936      0.9526      2.4157      4.0468      1.5558      9.3066      0.1235      0.7593     16.6333      0.0000     11.1869      0.0000      2.0000      2.3239         NaN
          87      0.6208      0.5658      1.0450      2.8788      0.5075      3.9591      3.3298      4.0022      7.0833      0.2404      0.7091     17.2778      0.0000      5.6204      0.0000      2.0000      2.4089      0.9992
          88      0.6309      0.5402      1.0084      3.0822      0.3672      1.1984      1.2431      3.9574      7.5929      0.1397      0.1659     11.1474      0.0000     17.9475      0.0000      2.0000      1.6233      2.7996
          89      0.6221      0.5370      1.0363      4.1697      0.7633      2.3986      4.0187      3.0663      7.2061      0.6778      0.2228      5.6397      0.0000     10.1749      0.0000      2.0000      2.1105      0.9704
          90      0.6850      0.5594      1.0139      3.1769      0.9409      1.4087      1.9026      1.6727      6.3289      0.4176      0.5159     11.2291      0.0000      8.1027      0.0000      2.0000      1.5347      1.5118
          91      0.6998      0.5775      1.0269      3.6599      0.2186      1.0848      2.2225      1.7486      5.1239      0.1081      0.4319     12.6607      0.0000     19.5410      0.0000      2.0000      1.8999      0.8242
          92      0.6084      0.5265      1.0001      4.7523      0.5045      1.0961      1.0046      4.3125      8.4035      0.6842      0.5486      9.0819      0.0000      8.4219      0.0000      2.0000      2.1949      1.1909
          93      0.6222      0.5157      1.0150      2.6350      0.2726      4.3244      1.2931      1.5708      6.5639      0.2503      0.5430     14.2174      0.0000      9.1768      0.0000      2.0000      2.8461         NaN
          94      0.6598      0.5900      1.0269      4.0943      0.0893      2.8787      2.6435      2.8497      8.0828      0.4284      0.2208     18.8891      0.0000     15.8607      0.0000      2.0000      2.9071      2.5718
          95      0.6072      0.5889      1.0111      3.1324      0.1681      1.3089      3.7063      1.4270      9.6362      0.2462      0.5864     10.7933      0.0000     18.1864      0.0000      2.0000      1.7893         NaN
