      number         u_z      LFPR_z         f_z         d_z
         132     -0.3645      0.6900      0.1606      0.0069
         133     -0.7794      0.7323      0.8120      0.0483
         134      0.0709      0.6154         NaN      0.0527
         135     -0.5076      0.7100      0.3568      0.0547
         136     -0.7956      0.5229      0.9637     -0.0968
         137     -0.1112      0.0465      0.9828         NaN
         138     -0.7720      0.7423      0.8404      0.0548
         139     -0.6820      0.6028      0.6293      0.0344
         140     -0.7397      0.6756      0.7462     -0.0182
         141     -0.3736      0.0346      0.9927      0.1062
         142     -0.1223      0.0669      0.9173         NaN
         143     -0.6424      0.5158      0.7836      0.0048
         144      0.0704      0.3749         NaN      0.0555
         145     -0.8086      0.7158      0.8798     -0.0404
         146      0.0525      0.0507         NaN         NaN
         147     -0.2955      0.6274      0.0403      0.0378
         148     -0.0081     -0.0099         NaN         NaN
         149     -0.5949      0.6403      0.5008      0.2425
